ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,3,1,1,44,2
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,3,1,0,15,1
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,3,0,1,6390,143
E54000031,NHS South West London Integrated Care Board,2023/24,4,1,1,2,0
E54000037,NHS Devon Integrated Care Board,2019/20,5,0,0,3,0
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,4,1,0,9,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,1,0,1,13105,693
E54000029,NHS North East London Integrated Care Board,2021/22,3,0,0,59213,3822
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,5,0,0,378,2
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,4,0,1,3,0
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,4,0,1,49,2
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,1,0,0,88245,5385
E54000064,NHS Sussex Integrated Care Board,2021/22,1,1,1,2680,65
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,3,0,1,4101,11
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,1,0,1,12276,100
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,4,0,1,30,0
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,3,0,0,3196,86
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,3,1,1,4,0
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,5,0,0,1,0
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,1,0,0,127914,6379
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,3,1,0,6,1
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,1,0,1,33614,1956
E54000031,NHS South West London Integrated Care Board,2022/23,3,0,0,42552,1191
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,5,0,0,7150,32
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,1,0,0,34954,303
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,3,0,1,9078,94
E54000031,NHS South West London Integrated Care Board,2022/23,3,1,1,60,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,3,0,0,1980,43
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,1,1,0,94,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,3,1,1,7,0
E54000030,NHS South East London Integrated Care Board,2023/24,1,1,0,200,2
E54000059,NHS Northamptonshire Integrated Care Board,2022/23,3,0,0,38607,1363
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,4,0,0,124,13
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,1,0,0,189863,7351
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,4,0,1,6,0
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,5,0,1,5,0
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,4,0,0,72,2
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,5,0,0,22,0
E54000064,NHS Sussex Integrated Care Board,2019/20,5,0,1,4,0
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,3,0,1,8116,216
