ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2109EWls0127,Count,Person,"Age 15, Mixed/multiple ethnic group: Total"
LC2109EWls0128,Count,Person,"Age 15, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0129,Count,Person,"Age 15, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0130,Count,Person,"Age 15, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0131,Count,Person,"Age 15, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0132,Count,Person,"Age 15, Asian/Asian British: Total"
LC2109EWls0133,Count,Person,"Age 15, Asian/Asian British: Indian"
LC2109EWls0134,Count,Person,"Age 15, Asian/Asian British: Pakistani"
LC2109EWls0135,Count,Person,"Age 15, Asian/Asian British: Bangladeshi"
LC2109EWls0136,Count,Person,"Age 15, Asian/Asian British: Chinese"
LC2109EWls0137,Count,Person,"Age 15, Asian/Asian British: Other Asian"
LC2109EWls0138,Count,Person,"Age 15, Black/African/Caribbean/Black British: Total"
LC2109EWls0139,Count,Person,"Age 15, Black/African/Caribbean/Black British: African"
LC2109EWls0140,Count,Person,"Age 15, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0141,Count,Person,"Age 15, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0142,Count,Person,"Age 15, Other ethnic group: Total"
LC2109EWls0143,Count,Person,"Age 15, Other ethnic group: Arab"
LC2109EWls0144,Count,Person,"Age 15, Other ethnic group: Any other ethnic group"
LC2109EWls0145,Count,Person,"Age 16 to 17, All categories: Ethnic group"
LC2109EWls0146,Count,Person,"Age 16 to 17, White: Total"
LC2109EWls0147,Count,Person,"Age 16 to 17, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0148,Count,Person,"Age 16 to 17, White: Irish"
LC2109EWls0149,Count,Person,"Age 16 to 17, White: Gypsy or Irish Traveller"
LC2109EWls0150,Count,Person,"Age 16 to 17, White: Other White"
LC2109EWls0151,Count,Person,"Age 16 to 17, Mixed/multiple ethnic group: Total"
LC2109EWls0152,Count,Person,"Age 16 to 17, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0153,Count,Person,"Age 16 to 17, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0154,Count,Person,"Age 16 to 17, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0155,Count,Person,"Age 16 to 17, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0156,Count,Person,"Age 16 to 17, Asian/Asian British: Total"
LC2109EWls0157,Count,Person,"Age 16 to 17, Asian/Asian British: Indian"
LC2109EWls0158,Count,Person,"Age 16 to 17, Asian/Asian British: Pakistani"
LC2109EWls0159,Count,Person,"Age 16 to 17, Asian/Asian British: Bangladeshi"
LC2109EWls0160,Count,Person,"Age 16 to 17, Asian/Asian British: Chinese"
LC2109EWls0161,Count,Person,"Age 16 to 17, Asian/Asian British: Other Asian"
LC2109EWls0162,Count,Person,"Age 16 to 17, Black/African/Caribbean/Black British: Total"
LC2109EWls0163,Count,Person,"Age 16 to 17, Black/African/Caribbean/Black British: African"
LC2109EWls0164,Count,Person,"Age 16 to 17, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0165,Count,Person,"Age 16 to 17, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0166,Count,Person,"Age 16 to 17, Other ethnic group: Total"
LC2109EWls0167,Count,Person,"Age 16 to 17, Other ethnic group: Arab"
LC2109EWls0168,Count,Person,"Age 16 to 17, Other ethnic group: Any other ethnic group"
LC2109EWls0169,Count,Person,"Age 18 to 19, All categories: Ethnic group"
LC2109EWls0170,Count,Person,"Age 18 to 19, White: Total"
LC2109EWls0171,Count,Person,"Age 18 to 19, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0172,Count,Person,"Age 18 to 19, White: Irish"
LC2109EWls0173,Count,Person,"Age 18 to 19, White: Gypsy or Irish Traveller"
LC2109EWls0174,Count,Person,"Age 18 to 19, White: Other White"
LC2109EWls0175,Count,Person,"Age 18 to 19, Mixed/multiple ethnic group: Total"
LC2109EWls0176,Count,Person,"Age 18 to 19, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0177,Count,Person,"Age 18 to 19, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0178,Count,Person,"Age 18 to 19, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0179,Count,Person,"Age 18 to 19, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0180,Count,Person,"Age 18 to 19, Asian/Asian British: Total"
LC2109EWls0181,Count,Person,"Age 18 to 19, Asian/Asian British: Indian"
LC2109EWls0182,Count,Person,"Age 18 to 19, Asian/Asian British: Pakistani"
LC2109EWls0183,Count,Person,"Age 18 to 19, Asian/Asian British: Bangladeshi"
LC2109EWls0184,Count,Person,"Age 18 to 19, Asian/Asian British: Chinese"
LC2109EWls0185,Count,Person,"Age 18 to 19, Asian/Asian British: Other Asian"
LC2109EWls0186,Count,Person,"Age 18 to 19, Black/African/Caribbean/Black British: Total"
LC2109EWls0187,Count,Person,"Age 18 to 19, Black/African/Caribbean/Black British: African"
LC2109EWls0188,Count,Person,"Age 18 to 19, Black/African/Caribbean/Black British: Caribbean"
