ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000062,NHS Black Country Integrated Care Board,2019/20,1,3,0,1341
E54000062,NHS Black Country Integrated Care Board,2022/23,1,10,0,6416
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,1,18,1,37
E54000031,NHS South West London Integrated Care Board,2019/20,1,11,1,54
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,1,21,1,110
E54000038,NHS Somerset Integrated Care Board,2022/23,1,19,0,3126
E54000030,NHS South East London Integrated Care Board,2022/23,3,10,0,4075
E54000028,NHS North Central London Integrated Care Board,2020/21,3,17,0,2071
E54000028,NHS North Central London Integrated Care Board,2019/20,3,9,0,5301
E54000064,NHS Sussex Integrated Care Board,2023/24,3,5,0,369
E54000041,NHS Dorset Integrated Care Board,2022/23,1,4,0,669
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,1,16,1,97
E54000030,NHS South East London Integrated Care Board,2023/24,3,11,0,6066
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,1,11,0,15769
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,3,18,0,962
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,5,11,0,22
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,4,7,0,2
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,3,7,0,90
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,1,0,0,2673
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,1,15,1,37
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,7,1,47
E54000062,NHS Black Country Integrated Care Board,2019/20,1,22,1,106
E54000029,NHS North East London Integrated Care Board,2023/24,3,6,1,8
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,4,10,0,2
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,1,2,0,911
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,3,2,0,224
