ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,1,4,1,168
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,14,0,48965
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,1,17,1,125
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,8,1,273
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,3,6,0,601
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,1,6,1,70
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,1,12,1,53
E54000037,NHS Devon Integrated Care Board,2019/20,3,12,1,16
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,1,7,1,13
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,4,10,0,3
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,3,16,1,65
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,5,11,0,11
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,3,20,0,1490
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,1,1,1,273
E54000028,NHS North Central London Integrated Care Board,2023/24,3,1,1,8
E54000029,NHS North East London Integrated Care Board,2019/20,1,12,0,35607
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,4,9,0,270
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,3,20,0,3805
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,1,14,1,243
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,4,16,1,25
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,1,16,0,17755
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,5,21,0,6
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,3,9,1,5
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,4,20,0,1
E54000028,NHS North Central London Integrated Care Board,2021/22,5,3,0,2
E54000029,NHS North East London Integrated Care Board,2020/21,3,6,1,18
E54000034,NHS Frimley Integrated Care Board,2022/23,5,12,1,8
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,3,11,1,14
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,4,20,0,1
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,5,14,0,1
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,4,18,1,1
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,4,13,1,1
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,4,19,0,1
E54000031,NHS South West London Integrated Care Board,2022/23,5,18,1,1
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,5,23,0,1
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,4,17,0,11
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,3,10,0,4926
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,3,17,1,14
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,1,14,1,143
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,3,0,1,13
E54000064,NHS Sussex Integrated Care Board,2019/20,1,0,0,10679
E54000037,NHS Devon Integrated Care Board,2023/24,1,2,1,160
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,3,3,1,3
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,1,21,0,13774
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,3,21,0,690
E54000028,NHS North Central London Integrated Care Board,2022/23,5,8,0,102
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,3,17,0,13402
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,1,5,0,3519
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,1,17,0,23372
E54000041,NHS Dorset Integrated Care Board,2023/24,5,13,0,9
E54000064,NHS Sussex Integrated Care Board,2023/24,1,18,1,471
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,1,9,1,26
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,4,13,0,8
E54000064,NHS Sussex Integrated Care Board,2021/22,4,17,0,40
E54000031,NHS South West London Integrated Care Board,2020/21,3,8,1,6
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,3,18,1,20
E54000038,NHS Somerset Integrated Care Board,2022/23,1,3,0,1799
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,4,14,0,39
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,1,20,0,13705
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,3,9,0,8114
E54000027,NHS North West London Integrated Care Board,2020/21,4,14,0,563
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,1,23,0,9358
E54000028,NHS North Central London Integrated Care Board,2021/22,1,0,1,170
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,1,15,0,18216
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,1,0,0,5868
E54000034,NHS Frimley Integrated Care Board,2022/23,1,8,1,35
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,1,9,1,141
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,5,13,0,46
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,3,12,1,68
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,4,16,0,23
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,1,10,1,137
E54000030,NHS South East London Integrated Care Board,2021/22,3,3,1,13
E54000027,NHS North West London Integrated Care Board,2019/20,3,8,0,16880
E54000064,NHS Sussex Integrated Care Board,2022/23,3,13,0,19385
E54000028,NHS North Central London Integrated Care Board,2021/22,3,20,1,48
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,1,11,1,45
E54000037,NHS Devon Integrated Care Board,2020/21,1,2,1,77
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,1,3,1,80
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,1,4,1,182
E54000062,NHS Black Country Integrated Care Board,2023/24,3,23,0,3224
E54000027,NHS North West London Integrated Care Board,2019/20,1,15,0,29796
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,1,0,0,19427
E54000029,NHS North East London Integrated Care Board,2022/23,1,7,0,9608
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,1,2,1,433
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,3,17,1,28
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,1,21,1,139
