ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_attends,mh_pats,mh_attends,mh_freqfly,mh_freqfly_attends
E54000031,NHS South West London Integrated Care Board,2022/23,132855,229530,1143,1430,14,107
E54000031,NHS South West London Integrated Care Board,2023/24,120561,197229,904,1118,12,93
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,144726,231656,1941,2450,23,223
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,99463,150388,2265,3132,48,426
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,152947,258772,2315,3207,39,501
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,172571,299766,1629,2201,21,367
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,173826,305165,1155,1331,7,55
E54000034,NHS Frimley Integrated Care Board,2019/20,46957,67357,809,1014,8,53
E54000034,NHS Frimley Integrated Care Board,2020/21,34046,47343,807,1097,17,111
E54000034,NHS Frimley Integrated Care Board,2021/22,52675,78080,835,1080,10,76
E54000034,NHS Frimley Integrated Care Board,2022/23,52655,86609,548,670,6,39
E54000034,NHS Frimley Integrated Care Board,2023/24,53632,92265,432,517,2,13
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,39814,62296,637,809,9,60
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,24360,34879,424,557,6,44
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,34561,51576,534,713,12,93
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,33340,48630,470,675,10,94
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,20949,29304,308,372,2,17
E54000037,NHS Devon Integrated Care Board,2019/20,47549,69316,1047,1402,17,159
E54000037,NHS Devon Integrated Care Board,2020/21,41772,58107,768,1008,14,105
E54000037,NHS Devon Integrated Care Board,2021/22,73487,109985,1242,1608,11,125
E54000037,NHS Devon Integrated Care Board,2022/23,74177,111855,1153,1491,14,118
E54000037,NHS Devon Integrated Care Board,2023/24,74220,112792,1282,1699,25,187
E54000038,NHS Somerset Integrated Care Board,2019/20,43537,68930,363,405,1,5
E54000038,NHS Somerset Integrated Care Board,2020/21,29080,42917,367,420,0,0
E54000038,NHS Somerset Integrated Care Board,2021/22,43000,69423,426,492,3,16
E54000038,NHS Somerset Integrated Care Board,2022/23,45902,75355,303,371,2,40
E54000038,NHS Somerset Integrated Care Board,2023/24,44705,73568,221,291,1,47
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,58485,87971,1300,1746,22,204
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,39548,56714,1186,1694,29,281
