age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
0-19,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,4,Urban,male,0,1,2020/21,NULL,1,12
60-74,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000188,NHS Humber and North Yorkshire ICB - 03Q,3,Urban,NULL,0,0,2019/20,Recommended to Attend Primary and Community Care,1,12
60-74,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000085,NHS Humber and North Yorkshire ICB - 03F,5,Urban,female,0,0,2021/22,Recommended to Attend A&E,35,600
35-59,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,4,Urban,female,0,0,2021/22,Recommended to Attend Primary and Community Care,1193,20472
0-19,E54000057,NHS Greater Manchester Integrated Care Board,E38000263,NHS Greater Manchester ICB - 01Y,8,Urban,female,0,0,2020/21,5.23 (Ambulance),8,132
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000200,NHS Lancashire and South Cumbria ICB - 02G,NULL,Rural,female,0,0,2020/21,5.23 (Ambulance),40,480
0-19,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,NULL,Urban,female,0,0,2021/22,5.26 (Other Service),1897,22764
75+,E54000053,NHS Sussex Integrated Care Board,E38000248,NHS Sussex ICB - 70F,7,Urban,male,0,1,2020/21,5.23 (Ambulance),6,108
60-74,E54000034,NHS Frimley Integrated Care Board,E38000252,NHS Frimley ICB - D4U1Y,NULL,Urban,male,0,0,2019/20,Recommended to Attend A&E,334,4008
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000034,NHS Lancashire and South Cumbria ICB - 00X,4,Urban,male,0,1,2021/22,Ambulance Dispatches,4,60
35-59,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,6,Rural,female,0,0,2019/20,5.23 (Ambulance),79,1092
75+,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,9,Rural,male,0,1,2021/22,Ambulance Dispatches,7,108
0-19,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,1,Rural,female,1,0,2020/21,Recommended to Attend Primary and Community Care,1,24
20-34,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000050,NHS Lancashire and South Cumbria ICB - 01A,1,Urban,male,0,1,2019/20,5.23 (Ambulance),3,60
60-74,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,9,Urban,male,0,1,2019/20,5.26 (Other Service),4,48
60-74,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,NULL,Urban,male,0,0,2021/22,NULL,25,300
75+,E54000054,NHS West Yorkshire Integrated Care Board,E38000025,NHS West Yorkshire ICB - 02T,NULL,Rural,female,0,0,2021/22,Recommended to Attend A&E,23,276
20-34,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,8,Urban,male,0,0,2021/22,Recommended to Attend Primary and Community Care,41,804
0-19,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000170,NHS Cheshire and Merseyside ICB - 01V,10,Urban,female,0,1,2020/21,Recommended to Attend Primary and Community Care,10,228
0-19,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000079,NHS Hertfordshire and West Essex ICB - 06N,8,Rural,male,0,1,2020/21,5.26 (Other Service),4,72
35-59,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,7,Rural,female,0,0,2021/22,Not Recommended to Attend Other Service,101,1356
75+,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000204,NHS Suffolk and North East Essex ICB - 07K,4,Rural,NULL,0,0,2020/21,NULL,1,24
20-34,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,7,Urban,female,0,0,2020/21,NULL,47,816
35-59,E54000054,NHS West Yorkshire Integrated Care Board,E38000254,NHS West Yorkshire ICB - X2C4Y,8,Urban,female,0,0,2021/22,5.27b (Home Care),4,96
20-34,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,9,Urban,NULL,0,0,2019/20,Recommended to Attend Primary and Community Care,4,48
0-19,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,1,Rural,female,0,1,2020/21,Recommended to Attend Other Service,2,24
35-59,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,8,Urban,female,0,1,2020/21,5.23 (Ambulance),88,1524
0-19,E54000026,NHS Mid and South Essex Integrated Care Board,E38000168,NHS Mid and South Essex ICB - 99G,9,Urban,male,0,1,2019/20,Recommended to Attend Other Service,2,24
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000034,NHS Lancashire and South Cumbria ICB - 00X,3,Rural,female,0,1,2021/22,Not Recommended to Attend Other Service,1,12
0-19,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,6,Rural,female,0,1,2021/22,Recommended to Attend A&E,109,1944
0-19,E54000032,NHS Kent and Medway Integrated Care Board,E38000237,NHS Kent and Medway ICB - 91Q,3,Urban,male,0,1,2020/21,Ambulance Dispatches,7,108
60-74,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,2,Rural,female,0,0,2019/20,NULL,1,24
75+,E54000041,NHS Dorset Integrated Care Board,E38000045,NHS Dorset ICB - 11J,5,Urban,male,0,1,2021/22,Not Recommended to Attend Other Service,56,1020
75+,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,NULL,Rural,male,0,1,2019/20,5.23 (Ambulance),121,1452
35-59,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000226,NHS Lancashire and South Cumbria ICB - 02M,6,Rural,male,0,0,2021/22,Recommended to Attend Primary and Community Care,55,948
35-59,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000117,NHS Suffolk and North East Essex ICB - 06T,4,Urban,female,0,1,2021/22,NULL,37,732
35-59,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,10,Urban,female,0,1,2021/22,Recommended to Attend A&E,1,24
20-34,E54000061,NHS South Yorkshire Integrated Care Board,E38000141,NHS South Yorkshire ICB - 03L,4,Urban,male,1,0,2020/21,Recommended to Attend A&E,2,48
75+,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000212,NHS North East and North Cumbria ICB - 13T,5,Urban,female,0,0,2019/20,Ambulance Dispatches,1,12
0-19,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000208,NHS Cheshire and Merseyside ICB - 12F,3,Urban,male,0,0,2020/21,5.23 (Ambulance),23,384
0-19,E54000026,NHS Mid and South Essex Integrated Care Board,E38000007,NHS Mid and South Essex ICB - 99E,7,Rural,female,0,0,2021/22,Not Recommended to Attend Other Service,11,264
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000233,NHS Cheshire and Merseyside ICB - 27D,NULL,Rural,male,0,1,2019/20,NULL,32,384
75+,E54000032,NHS Kent and Medway Integrated Care Board,E38000237,NHS Kent and Medway ICB - 91Q,10,Urban,male,0,1,2020/21,Recommended to Attend A&E,2,24
75+,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,7,Urban,male,0,1,2020/21,NULL,35,636
60-74,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,5,Urban,male,0,0,2021/22,5.26 (Other Service),41,708
20-34,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,6,Urban,female,0,0,2019/20,5.26 (Other Service),1,12
35-59,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,8,Rural,male,0,1,2019/20,5.23 (Ambulance),17,264
75+,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,6,Urban,female,0,0,2021/22,Recommended to Attend A&E,78,1212
75+,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000085,NHS Humber and North Yorkshire ICB - 03F,5,Urban,female,1,1,2020/21,Recommended to Attend A&E,2,36
20-34,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,1,Urban,male,0,0,2020/21,5.27b (Home Care),2,36
0-19,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000204,NHS Suffolk and North East Essex ICB - 07K,8,Rural,male,0,1,2021/22,Recommended to Attend Other Service,4,48
35-59,E54000054,NHS West Yorkshire Integrated Care Board,E38000225,NHS West Yorkshire ICB - 15F,1,Urban,female,1,0,2021/22,Recommended to Attend Other Service,1,12
20-34,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,4,Urban,male,0,0,2020/21,5.27b (Home Care),144,2496
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000221,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 15A,8,Rural,female,0,0,2019/20,Ambulance Dispatches,7,96
75+,E54000054,NHS West Yorkshire Integrated Care Board,E38000025,NHS West Yorkshire ICB - 02T,1,Urban,male,0,0,2021/22,5.23 (Ambulance),26,588
0-19,E54000034,NHS Frimley Integrated Care Board,E38000252,NHS Frimley ICB - D4U1Y,NULL,Urban,female,0,0,2020/21,5.26 (Other Service),1142,13704
35-59,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,10,Rural,female,0,1,2020/21,5.26 (Other Service),46,960
20-34,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000051,NHS Leicester Leicestershire and Rutland ICB - 03W,8,Rural,male,0,1,2021/22,Recommended to Attend A&E,31,480
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000241,NHS Humber and North Yorkshire ICB - 42D,8,Urban,male,0,0,2019/20,5.26 (Other Service),16,252
35-59,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,3,Urban,male,0,0,2019/20,Recommended to Attend A&E,215,4056
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000194,NHS Cheshire and Merseyside ICB - 02E,10,Urban,female,0,1,2020/21,Not Recommended to Attend Other Service,14,288
60-74,E54000028,NHS North Central London Integrated Care Board,E38000240,NHS North Central London ICB - 93C,7,Urban,male,0,1,2020/21,Ambulance Dispatches,2,24
75+,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,4,Urban,female,0,1,2020/21,5.26 (Other Service),18,324
35-59,E54000053,NHS Sussex Integrated Care Board,E38000248,NHS Sussex ICB - 70F,7,Urban,male,0,0,2019/20,Recommended to Attend A&E,9,156
20-34,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,9,Rural,male,0,1,2019/20,Recommended to Attend Primary and Community Care,46,708
0-19,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000221,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 15A,10,Urban,female,0,0,2021/22,Recommended to Attend Primary and Community Care,2488,57696
60-74,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,8,Urban,male,0,0,2020/21,Recommended to Attend Other Service,20,312
0-19,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000068,NHS Cheshire and Merseyside ICB - 01F,5,Urban,male,0,0,2021/22,Not Recommended to Attend Other Service,11,180
0-19,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,5,Urban,male,0,0,2019/20,Recommended to Attend Primary and Community Care,2261,37380
75+,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000172,NHS Cheshire and Merseyside ICB - 01X,5,Rural,male,0,1,2020/21,Recommended to Attend Other Service,1,12
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000221,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 15A,3,Urban,female,0,1,2019/20,5.26 (Other Service),20,408
20-34,E54000059,NHS Northamptonshire Integrated Care Board,E38000262,NHS Northamptonshire ICB - 78H,9,Urban,female,1,0,2021/22,Recommended to Attend Primary and Community Care,4,60
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000226,NHS Lancashire and South Cumbria ICB - 02M,NULL,Rural,NULL,0,0,2020/21,NULL,23,276
35-59,E54000053,NHS Sussex Integrated Care Board,E38000248,NHS Sussex ICB - 70F,NULL,Rural,female,0,1,2019/20,Recommended to Attend Primary and Community Care,38,456
35-59,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,5,Rural,female,0,1,2020/21,5.26 (Other Service),9,108
75+,E54000026,NHS Mid and South Essex Integrated Care Board,E38000007,NHS Mid and South Essex ICB - 99E,5,Rural,female,0,0,2021/22,Recommended to Attend Primary and Community Care,8,192
75+,E54000028,NHS North Central London Integrated Care Board,E38000240,NHS North Central London ICB - 93C,7,Urban,male,0,0,2021/22,NULL,6,72
20-34,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000212,NHS North East and North Cumbria ICB - 13T,10,Urban,NULL,0,0,2021/22,NULL,22,420
75+,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,7,Rural,female,0,0,2021/22,5.26 (Other Service),11,192
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000227,NHS Lancashire and South Cumbria ICB - 01E,NULL,Urban,female,0,1,2021/22,Ambulance Dispatches,17,204
35-59,E54000026,NHS Mid and South Essex Integrated Care Board,E38000030,NHS Mid and South Essex ICB - 99F,7,Urban,female,0,1,2020/21,Not Recommended to Attend Other Service,20,360
35-59,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000228,NHS Lancashire and South Cumbria ICB - 01K,3,Rural,female,0,0,2021/22,Not Recommended to Attend Other Service,20,360
75+,E54000026,NHS Mid and South Essex Integrated Care Board,E38000185,NHS Mid and South Essex ICB - 07G,6,Urban,male,0,0,2019/20,Recommended to Attend Primary and Community Care,24,372
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000188,NHS Humber and North Yorkshire ICB - 03Q,7,Urban,male,0,0,2021/22,5.27b (Home Care),2,24
75+,E54000054,NHS West Yorkshire Integrated Care Board,E38000225,NHS West Yorkshire ICB - 15F,6,Urban,male,0,1,2021/22,Recommended to Attend Other Service,77,1332
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,3,Rural,female,0,1,2021/22,Not Recommended to Attend Other Service,3,72
0-19,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,5,Urban,female,1,1,2021/22,Recommended to Attend Primary and Community Care,2,36
60-74,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000091,NHS Cheshire and Merseyside ICB - 01J,3,Urban,female,0,1,2019/20,NULL,4,60
60-74,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,2,Urban,male,0,0,2019/20,Ambulance Dispatches,88,1704
0-19,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,3,Urban,male,0,0,2021/22,Not Recommended to Attend Other Service,76,1272
20-34,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000241,NHS Humber and North Yorkshire ICB - 42D,9,Urban,female,0,1,2019/20,Ambulance Dispatches,8,168
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,6,Urban,female,0,1,2019/20,5.23 (Ambulance),106,1704
60-74,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,1,Urban,male,0,0,2021/22,Recommended to Attend Other Service,32,660
60-74,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,5,Rural,female,0,0,2019/20,Recommended to Attend Primary and Community Care,268,4164
0-19,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,NULL,Rural,female,0,0,2019/20,Ambulance Dispatches,35,420
20-34,E54000028,NHS North Central London Integrated Care Board,E38000240,NHS North Central London ICB - 93C,2,Urban,male,1,1,2020/21,Recommended to Attend A&E,8,144
0-19,E54000057,NHS Greater Manchester Integrated Care Board,E38000080,NHS Greater Manchester ICB - 01D,1,Urban,NULL,0,0,2021/22,NULL,70,1500
35-59,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000197,NHS Hertfordshire and West Essex ICB - 07H,9,Urban,female,0,0,2020/21,Recommended to Attend Other Service,24,456
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000200,NHS Lancashire and South Cumbria ICB - 02G,2,Urban,female,0,1,2020/21,NULL,2,48
20-34,E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,E38000222,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,6,Urban,male,1,0,2021/22,Recommended to Attend Primary and Community Care,13,180
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,7,Urban,female,0,0,2020/21,NULL,180,3324
20-34,E54000029,NHS North East London Integrated Care Board,E38000255,NHS North East London ICB - A3A8R,3,Urban,female,0,0,2019/20,Recommended to Attend A&E,2848,46308
20-34,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,4,Urban,female,0,1,2020/21,NULL,17,336
75+,E54000054,NHS West Yorkshire Integrated Care Board,E38000025,NHS West Yorkshire ICB - 02T,9,Rural,male,0,0,2020/21,Recommended to Attend Other Service,1,24
0-19,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000201,NHS Leicester Leicestershire and Rutland ICB - 04V,6,Rural,male,0,1,2020/21,Not Recommended to Attend Other Service,10,156
75+,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000200,NHS Lancashire and South Cumbria ICB - 02G,NULL,Rural,male,0,0,2020/21,5.27b (Home Care),1,12
75+,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,6,Urban,female,0,0,2020/21,Not Recommended to Attend Other Service,97,1680
75+,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,2,Urban,female,0,1,2019/20,5.26 (Other Service),4,72
60-74,E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,E38000231,NHS Bath and North East Somerset Swindon and Wiltshire ICB - 92G,7,Urban,female,0,0,2021/22,5.26 (Other Service),51,816
75+,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,10,Urban,male,0,1,2020/21,Recommended to Attend Primary and Community Care,83,1644
60-74,E54000022,NHS Norfolk and Waveney Integrated Care Board,E38000239,NHS Norfolk and Waveney ICB - 26A,NULL,Urban,female,0,0,2021/22,5.23 (Ambulance),723,8676
35-59,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000215,NHS North East and North Cumbria ICB - 01H,1,Rural,female,0,0,2019/20,Ambulance Dispatches,35,624
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000208,NHS Cheshire and Merseyside ICB - 12F,7,Urban,NULL,0,0,2020/21,NULL,74,1152
20-34,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000204,NHS Suffolk and North East Essex ICB - 07K,9,Rural,male,0,1,2019/20,Not Recommended to Attend Other Service,6,72
20-34,E54000054,NHS West Yorkshire Integrated Care Board,E38000225,NHS West Yorkshire ICB - 15F,5,Rural,female,0,0,2021/22,Recommended to Attend Primary and Community Care,66,888
60-74,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,NULL,Rural,NULL,1,0,2019/20,Recommended to Attend Primary and Community Care,2,24
35-59,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,8,Urban,male,0,0,2020/21,Recommended to Attend A&E,696,11316
60-74,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,2,Urban,female,0,1,2020/21,Recommended to Attend Other Service,4,48
0-19,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,9,Rural,male,0,1,2020/21,Ambulance Dispatches,8,144
60-74,E54000054,NHS West Yorkshire Integrated Care Board,E38000232,NHS West Yorkshire ICB - 36J,8,Rural,female,0,1,2020/21,5.23 (Ambulance),14,324
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000143,NHS Greater Manchester ICB - 01G,10,Urban,male,0,0,2020/21,Recommended to Attend Primary and Community Care,76,1476
20-34,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000234,NHS North East and North Cumbria ICB - 84H,NULL,Urban,male,0,1,2020/21,Ambulance Dispatches,10,120
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000016,NHS Greater Manchester ICB - 00T,7,Urban,female,0,0,2020/21,Recommended to Attend Other Service,21,324
35-59,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,7,Urban,male,0,0,2019/20,5.27b (Home Care),21,360
35-59,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000200,NHS Lancashire and South Cumbria ICB - 02G,1,Urban,female,0,1,2020/21,NULL,6,144
0-19,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,7,Rural,NULL,0,0,2021/22,NULL,4,84
60-74,E54000054,NHS West Yorkshire Integrated Care Board,E38000232,NHS West Yorkshire ICB - 36J,7,Rural,female,0,1,2020/21,Not Recommended to Attend Other Service,20,252
75+,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000127,NHS North East and North Cumbria ICB - 99C,10,Urban,female,0,0,2021/22,Not Recommended to Attend Other Service,2,48
60-74,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,9,Rural,female,0,0,2020/21,Ambulance Dispatches,17,300
20-34,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000188,NHS Humber and North Yorkshire ICB - 03Q,2,Urban,female,0,0,2021/22,Recommended to Attend Primary and Community Care,237,3780
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000119,NHS Humber and North Yorkshire ICB - 03H,6,Urban,male,0,0,2019/20,Recommended to Attend Other Service,4,48
0-19,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,1,Rural,male,0,1,2020/21,Not Recommended to Attend Other Service,1,24
0-19,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000163,NHS North East and North Cumbria ICB - 00N,9,Urban,male,0,0,2020/21,Not Recommended to Attend Other Service,3,72
75+,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000068,NHS Cheshire and Merseyside ICB - 01F,8,Urban,male,0,0,2019/20,Ambulance Dispatches,33,672
0-19,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000122,NHS Humber and North Yorkshire ICB - 03K,4,Urban,male,0,0,2019/20,NULL,8,180
60-74,E54000054,NHS West Yorkshire Integrated Care Board,E38000254,NHS West Yorkshire ICB - X2C4Y,8,Rural,female,0,0,2021/22,5.26 (Other Service),7,120
35-59,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000215,NHS North East and North Cumbria ICB - 01H,7,Rural,male,0,1,2021/22,Recommended to Attend A&E,9,192
60-74,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000172,NHS Cheshire and Merseyside ICB - 01X,4,Urban,NULL,0,0,2021/22,NULL,21,300
35-59,E54000061,NHS South Yorkshire Integrated Care Board,E38000146,NHS South Yorkshire ICB - 03N,7,Rural,male,0,0,2019/20,Recommended to Attend A&E,10,144
0-19,E54000057,NHS Greater Manchester Integrated Care Board,E38000135,NHS Greater Manchester ICB - 00Y,10,Urban,female,0,0,2019/20,Not Recommended to Attend Other Service,6,72
0-19,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,NULL,Rural,female,0,1,2019/20,Not Recommended to Attend Other Service,3,36
0-19,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,NULL,Rural,male,1,0,2021/22,Recommended to Attend A&E,2,24
60-74,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000247,NHS North East and North Cumbria ICB - 16C,8,Rural,male,0,0,2019/20,Recommended to Attend A&E,2,36
75+,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,10,Urban,male,1,0,2019/20,Not Recommended to Attend Other Service,1,24
20-34,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,2,Urban,male,0,1,2019/20,Recommended to Attend Other Service,42,744
35-59,E54000053,NHS Sussex Integrated Care Board,E38000248,NHS Sussex ICB - 70F,5,Urban,male,0,1,2021/22,Recommended to Attend Other Service,2,48
20-34,E54000057,NHS Greater Manchester Integrated Care Board,E38000217,NHS Greater Manchester ICB - 14L,NULL,Urban,male,0,1,2020/21,Not Recommended to Attend Other Service,909,10908
75+,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000079,NHS Hertfordshire and West Essex ICB - 06N,10,Rural,male,0,1,2021/22,5.26 (Other Service),18,420
0-19,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,NULL,Urban,female,1,0,2019/20,Recommended to Attend Primary and Community Care,2,24
75+,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,3,Urban,male,0,1,2021/22,5.23 (Ambulance),164,2748
