age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
0-19,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,10,Rural,male,0,1,2019/20,5.26 (Other Service),1,12
35-59,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000051,NHS Leicester Leicestershire and Rutland ICB - 03W,6,Rural,male,0,1,2020/21,Recommended to Attend Primary and Community Care,35,504
60-74,E54000057,NHS Greater Manchester Integrated Care Board,E38000135,NHS Greater Manchester ICB - 00Y,6,Urban,female,0,0,2020/21,5.26 (Other Service),8,108
35-59,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000161,NHS Cheshire and Merseyside ICB - 01T,2,Urban,female,0,1,2020/21,5.26 (Other Service),6,120
0-19,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000201,NHS Leicester Leicestershire and Rutland ICB - 04V,6,Urban,male,0,0,2019/20,5.23 (Ambulance),103,1560
20-34,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,NULL,Urban,female,1,1,2021/22,Ambulance Dispatches,9,108
20-34,E54000026,NHS Mid and South Essex Integrated Care Board,E38000030,NHS Mid and South Essex ICB - 99F,7,Urban,NULL,0,0,2020/21,NULL,1,12
60-74,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000050,NHS Lancashire and South Cumbria ICB - 01A,10,Urban,male,0,0,2021/22,5.26 (Other Service),4,60
75+,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,10,Urban,female,0,1,2020/21,Recommended to Attend A&E,18,384
35-59,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E38000086,NHS Suffolk and North East Essex ICB - 06L,NULL,Urban,female,0,1,2019/20,Ambulance Dispatches,165,1980
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,NULL,Urban,male,0,1,2021/22,5.26 (Other Service),257,3084
