ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_attends,mh_pats,mh_attends,mh_freqfly,mh_freqfly_attends
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,316946,508847,8565,11096,127,1079
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,326674,523340,8230,10314,99,839
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,329479,532975,8581,11008,125,1082
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,191069,301338,2396,2916,17,135
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,150429,231331,2236,2706,17,163
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,199350,313311,2387,2931,29,190
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2022/23,213203,335066,2715,3310,27,223
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,221524,358720,3044,3652,20,182
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,649496,1071332,15232,19670,190,1810
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,572225,930882,15483,20127,215,2008
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,749481,1264330,14593,18088,159,1351
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,745481,1276510,12557,15608,156,1292
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,769668,1349403,12864,15831,142,1189
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,230773,370174,4082,4847,29,225
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,181580,297322,3603,4576,45,385
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,237619,374815,5082,6260,50,438
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,259343,414507,4428,5445,48,444
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,286860,487776,5594,6784,50,427
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,179648,307364,3849,5018,52,525
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,139306,225983,4112,5713,92,971
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,186840,318096,4353,5593,67,574
E54000059,NHS Northamptonshire Integrated Care Board,2022/23,198245,342412,4493,5652,59,479
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,204347,358580,4621,5878,64,573
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,257479,405396,5458,6514,37,321
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,189729,299067,4769,5723,35,288
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,252540,412452,4695,5608,27,239
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,262614,412710,4650,5492,36,295
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2023/24,270562,429143,4705,5590,36,335
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,333549,530882,5924,7188,48,420
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,261698,403784,5956,7436,67,560
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,337703,540228,6364,7709,51,475
E54000061,NHS South Yorkshire Integrated Care Board,2022/23,339741,542129,6759,8312,66,539
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,342053,563723,7244,9105,81,686
E54000062,NHS Black Country Integrated Care Board,2019/20,276772,455349,5357,6621,57,461
E54000062,NHS Black Country Integrated Care Board,2020/21,210724,341000,4696,5862,54,440
E54000062,NHS Black Country Integrated Care Board,2021/22,313642,531463,6791,8544,86,707
E54000062,NHS Black Country Integrated Care Board,2022/23,329386,560754,6092,7734,85,734
E54000062,NHS Black Country Integrated Care Board,2023/24,349082,647908,6247,7899,67,627
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,203706,321317,2545,3033,19,148
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,154380,239265,2373,2776,16,112
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,237871,382826,2409,2811,15,127
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,247504,394105,2714,3176,25,200
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,254431,405618,2499,2933,16,113
E54000064,NHS Sussex Integrated Care Board,2019/20,378729,603904,8898,11947,151,1387
E54000064,NHS Sussex Integrated Care Board,2020/21,316558,490102,8650,11294,135,1137
E54000064,NHS Sussex Integrated Care Board,2021/22,407617,651063,9266,12200,135,1192
E54000064,NHS Sussex Integrated Care Board,2022/23,419588,677281,9372,12508,172,1424
E54000064,NHS Sussex Integrated Care Board,2023/24,430489,704030,9492,12841,183,1502
