ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,14,0,4645
E54000031,NHS South West London Integrated Care Board,2018/19,5,0,1384
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,22,1,11850
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2017/18,1,1,2032
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,5,0,6511
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2017/18,21,1,20284
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,21,1,938
E54000034,NHS Frimley Integrated Care Board,2020/21,20,1,7880
E54000064,NHS Sussex Integrated Care Board,2021/22,1,1,231
E54000064,NHS Sussex Integrated Care Board,2020/21,18,1,1365
E54000062,NHS Black Country Integrated Care Board,2021/22,14,0,679
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,2,1,945
E54000037,NHS Devon Integrated Care Board,2020/21,7,1,257
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,19,0,8102
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2018/19,15,1,7519
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,3,1,2678
E54000041,NHS Dorset Integrated Care Board,2020/21,21,0,4699
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2017/18,10,0,1884
E54000063,NHS Surrey Heartlands Integrated Care Board,2017/18,20,1,5610
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2017/18,10,0,1175
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,22,1,14708
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,6,0,2309
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,15,0,3510
E54000030,NHS South East London Integrated Care Board,2021/22,0,1,7142
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,16,0,4763
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,20,1,14647
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2017/18,1,1,427
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,2,0,2869
E54000029,NHS North East London Integrated Care Board,2018/19,4,0,704
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,20,1,15276
E54000055,NHS Birmingham and Solihull Integrated Care Board,2018/19,13,0,4542
E54000064,NHS Sussex Integrated Care Board,2020/21,21,1,724
E54000022,NHS Norfolk and Waveney Integrated Care Board,2017/18,8,1,13220
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,2,1,4066
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2018/19,4,0,521
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,12,1,15664
E54000055,NHS Birmingham and Solihull Integrated Care Board,2017/18,20,1,7408
E54000031,NHS South West London Integrated Care Board,2020/21,4,0,1867
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,1,1,3351
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,14,0,8471
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,6,0,253
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,14,0,3419
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,10,0,5825
E54000063,NHS Surrey Heartlands Integrated Care Board,2018/19,1,1,2679
E54000037,NHS Devon Integrated Care Board,2021/22,15,1,495
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2017/18,20,0,993
E54000030,NHS South East London Integrated Care Board,2021/22,15,0,15441
E54000027,NHS North West London Integrated Care Board,2018/19,3,0,2050
E54000026,NHS Mid and South Essex Integrated Care Board,2018/19,8,0,2039
E54000038,NHS Somerset Integrated Care Board,2019/20,14,0,264
E54000029,NHS North East London Integrated Care Board,2018/19,13,1,6163
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,11,0,3266
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,14,1,1471
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,5,0,89
E54000043,NHS Gloucestershire Integrated Care Board,2017/18,0,1,1353
NULL,NULL,2018/19,9,1,1
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,15,1,1342
E54000034,NHS Frimley Integrated Care Board,2019/20,23,0,1705
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,12,1,1307
E54000055,NHS Birmingham and Solihull Integrated Care Board,2018/19,10,1,8545
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2017/18,21,1,7070
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2017/18,14,1,7262
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2018/19,6,1,2897
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2018/19,0,1,239
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,1,0,3782
E54000026,NHS Mid and South Essex Integrated Care Board,2017/18,23,1,6294
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,12,1,18300
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,8,0,4026
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,2,0,2640
E54000055,NHS Birmingham and Solihull Integrated Care Board,2017/18,5,0,686
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,19,0,2877
E54000022,NHS Norfolk and Waveney Integrated Care Board,2017/18,13,1,9637
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2017/18,2,0,3594
E54000041,NHS Dorset Integrated Care Board,2020/21,8,1,6822
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,22,0,4153
E54000058,NHS Derby and Derbyshire Integrated Care Board,2017/18,3,1,125
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2017/18,11,1,5243
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2017/18,14,1,4006
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,6,0,15239
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2017/18,18,1,28680
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2018/19,3,0,921
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,5,0,85
E54000027,NHS North West London Integrated Care Board,2020/21,8,0,10057
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2018/19,21,1,584
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,3,0,36
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,7,0,1821
E54000050,NHS North East and North Cumbria Integrated Care Board,2018/19,10,1,1159
E54000030,NHS South East London Integrated Care Board,2021/22,21,1,16208
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,21,1,8877
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,20,0,4565
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2017/18,8,0,1893
E54000037,NHS Devon Integrated Care Board,2017/18,22,1,7083
E54000030,NHS South East London Integrated Care Board,2021/22,6,0,3759
E54000022,NHS Norfolk and Waveney Integrated Care Board,2018/19,23,1,5932
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2017/18,6,0,4434
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2018/19,21,0,3801
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,6,0,79
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,15,0,197
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,2,0,708
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2018/19,3,1,1599
E54000058,NHS Derby and Derbyshire Integrated Care Board,2018/19,23,0,8691
E54000064,NHS Sussex Integrated Care Board,2019/20,21,1,797
E54000038,NHS Somerset Integrated Care Board,2021/22,23,1,134
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,0,0,979
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,2,0,950
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,19,0,19214
E54000026,NHS Mid and South Essex Integrated Care Board,2017/18,22,0,1859
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,18,0,8332
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,4,0,812
NULL,NULL,2018/19,0,1,3
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,10,0,7098
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2018/19,20,1,19919
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,5,1,3100
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,14,0,3515
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,12,1,16382
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,14,0,11271
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,7,0,3909
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2018/19,21,0,2027
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,9,1,782
E54000034,NHS Frimley Integrated Care Board,2018/19,7,1,4917
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,6,0,3491
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,6,0,1234
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,9,0,17242
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,17,1,609
E54000041,NHS Dorset Integrated Care Board,2018/19,2,1,2544
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,18,0,6932
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,8,0,52171
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2017/18,2,0,707
E54000026,NHS Mid and South Essex Integrated Care Board,2018/19,14,1,12376
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,16,1,7306
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,17,1,6619
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,13,1,13726
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,12,1,6916
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,2,1,1716
E54000029,NHS North East London Integrated Care Board,2018/19,21,0,3057
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,10,1,18597
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2018/19,18,1,665
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,16,0,25980
E54000032,NHS Kent and Medway Integrated Care Board,2018/19,19,0,2373
E54000032,NHS Kent and Medway Integrated Care Board,2018/19,2,0,526
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,6,1,2485
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,21,0,351
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,5,0,769
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,2,0,1239
E54000064,NHS Sussex Integrated Care Board,2021/22,0,1,313
E54000038,NHS Somerset Integrated Care Board,2017/18,2,0,882
E54000022,NHS Norfolk and Waveney Integrated Care Board,2018/19,13,0,1740
E54000028,NHS North Central London Integrated Care Board,2021/22,16,1,2514
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2018/19,22,0,1736
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,4,1,95
E54000055,NHS Birmingham and Solihull Integrated Care Board,2017/18,17,0,2880
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,20,1,8489
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,10,0,38146
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2017/18,13,0,1339
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2018/19,22,1,15653
E54000032,NHS Kent and Medway Integrated Care Board,2018/19,9,0,1790
E54000062,NHS Black Country Integrated Care Board,2017/18,8,1,5532
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2017/18,0,1,2274
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,6,1,4393
E54000041,NHS Dorset Integrated Care Board,2018/19,20,1,10507
E54000034,NHS Frimley Integrated Care Board,2017/18,15,1,6003
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,9,1,1565
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,1,0,2305
E54000038,NHS Somerset Integrated Care Board,2018/19,13,0,1427
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,17,0,2818
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,11,0,5357
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,12,0,24405
E54000054,NHS West Yorkshire Integrated Care Board,2018/19,23,0,3054
E54000022,NHS Norfolk and Waveney Integrated Care Board,2017/18,0,0,1029
E54000061,NHS South Yorkshire Integrated Care Board,2017/18,23,1,7040
E54000061,NHS South Yorkshire Integrated Care Board,2018/19,11,1,16764
E54000041,NHS Dorset Integrated Care Board,2020/21,15,0,6410
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2017/18,12,1,4803
E54000031,NHS South West London Integrated Care Board,2018/19,22,1,7398
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,20,0,5738
E54000013,NHS Lincolnshire Integrated Care Board,2018/19,12,0,9300
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,1,1,199
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,0,0,1123
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,3,0,949
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2017/18,13,1,446
E54000028,NHS North Central London Integrated Care Board,2020/21,10,0,3121
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,19,0,2741
E54000038,NHS Somerset Integrated Care Board,2020/21,20,0,281
E54000038,NHS Somerset Integrated Care Board,2020/21,6,1,107
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,0,8048
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,16,0,3277
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,16,1,14451
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,21,1,7360
E54000028,NHS North Central London Integrated Care Board,2017/18,18,1,1049
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,12,1,630
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,12,1,7970
E54000037,NHS Devon Integrated Care Board,2020/21,18,1,451
E54000027,NHS North West London Integrated Care Board,2019/20,1,1,7941
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2017/18,0,1,10478
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,6,0,1190
E54000034,NHS Frimley Integrated Care Board,2018/19,23,1,4036
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,2,0,1964
E54000030,NHS South East London Integrated Care Board,2019/20,11,1,22559
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,18,1,25870
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,16,1,4287
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,10,0,58910
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,3,1,3077
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,18,0,13223
E54000037,NHS Devon Integrated Care Board,2017/18,2,0,1674
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,11,0,6054
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2018/19,10,0,4342
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,14,1,3856
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,10,1,1361
E54000030,NHS South East London Integrated Care Board,2019/20,2,0,2736
E54000064,NHS Sussex Integrated Care Board,2017/18,5,0,149
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,20,1,635
E54000037,NHS Devon Integrated Care Board,2018/19,11,0,3782
E54000038,NHS Somerset Integrated Care Board,2017/18,19,1,5202
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,10,1,3221
E54000032,NHS Kent and Medway Integrated Care Board,2017/18,17,1,11227
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,6,1,5043
E54000029,NHS North East London Integrated Care Board,2021/22,17,0,19489
E54000034,NHS Frimley Integrated Care Board,2020/21,12,0,4498
E54000061,NHS South Yorkshire Integrated Care Board,2018/19,17,0,2883
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,15,1,550
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,10,0,10141
E54000030,NHS South East London Integrated Care Board,2019/20,9,1,23629
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2017/18,0,0,3156
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,20,0,2858
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2018/19,12,1,9572
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,14,1,8591
E54000029,NHS North East London Integrated Care Board,2019/20,13,0,10850
E54000028,NHS North Central London Integrated Care Board,2020/21,15,1,2676
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,19,0,4447
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2018/19,6,0,1009
E54000037,NHS Devon Integrated Care Board,2018/19,9,0,3670
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,17,1,9233
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,16,1,14005
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,13,1,247
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2017/18,19,1,16538
E54000043,NHS Gloucestershire Integrated Care Board,2018/19,20,1,5651
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2018/19,23,0,2710
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2018/19,13,0,3956
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,3,1,1714
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,14,0,46628
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,11,1,2097
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,16,0,206
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2018/19,11,1,6226
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,21,1,6241
E54000038,NHS Somerset Integrated Care Board,2019/20,20,1,413
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,9,1,1684
E54000041,NHS Dorset Integrated Care Board,2021/22,18,0,7834
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,22,1,2230
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,22,0,2762
E54000030,NHS South East London Integrated Care Board,2020/21,12,0,15413
E54000038,NHS Somerset Integrated Care Board,2017/18,3,1,873
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,21,1,17529
E54000031,NHS South West London Integrated Care Board,2019/20,6,0,2299
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,20,0,5246
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,21,0,2253
E54000043,NHS Gloucestershire Integrated Care Board,2018/19,19,0,3050
E54000030,NHS South East London Integrated Care Board,2020/21,9,1,25036
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,4,0,2293
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2017/18,13,0,632
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,10,1,10096
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,2,1,148
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2017/18,0,0,5934
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,2,1,1894
E54000031,NHS South West London Integrated Care Board,2020/21,15,1,10307
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,7,0,73
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2017/18,17,1,6772
E54000032,NHS Kent and Medway Integrated Care Board,2017/18,2,0,349
E54000029,NHS North East London Integrated Care Board,2019/20,15,1,18868
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,22,0,4758
E54000057,NHS Greater Manchester Integrated Care Board,2018/19,19,1,828
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,6,1,3674
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,17,0,22508
E54000029,NHS North East London Integrated Care Board,2017/18,23,0,5537
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,16,0,7623
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,8,1,5127
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,19,1,1253
E54000030,NHS South East London Integrated Care Board,2017/18,16,1,4315
E54000059,NHS Northamptonshire Integrated Care Board,2017/18,11,0,9824
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,7,1,2280
E54000055,NHS Birmingham and Solihull Integrated Care Board,2018/19,1,1,2604
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2017/18,23,1,794
E54000041,NHS Dorset Integrated Care Board,2021/22,8,1,4654
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,8,1,3920
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,0,0,1229
E54000034,NHS Frimley Integrated Care Board,2017/18,3,0,344
E54000032,NHS Kent and Medway Integrated Care Board,2018/19,8,0,1462
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,5,1,152
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2018/19,1,1,6470
E54000062,NHS Black Country Integrated Care Board,2020/21,12,1,15986
E54000028,NHS North Central London Integrated Care Board,2020/21,8,0,1928
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,9,1,4924
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2018/19,22,0,6183
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,11,1,4890
E54000030,NHS South East London Integrated Care Board,2017/18,8,1,4547
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,17,1,11901
E54000031,NHS South West London Integrated Care Board,2017/18,4,1,194
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,13,1,8458
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2018/19,7,1,7850
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,8,1,591
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2017/18,4,0,509
E54000030,NHS South East London Integrated Care Board,2018/19,6,0,1803
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2018/19,1,0,730
E54000037,NHS Devon Integrated Care Board,2020/21,14,0,427
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,7,1,9625
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,0,1,3081
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,7,0,2072
E54000013,NHS Lincolnshire Integrated Care Board,2018/19,23,1,290
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,19,0,21757
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,14,0,6322
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,15,1,8713
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,6,1,6071
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,7,0,1532
E54000030,NHS South East London Integrated Care Board,2021/22,20,1,18900
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,4,0,1317
E54000031,NHS South West London Integrated Care Board,2021/22,15,1,11909
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,5,0,898
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,9,0,8540
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,12,1,7997
E54000063,NHS Surrey Heartlands Integrated Care Board,2017/18,22,0,584
E54000013,NHS Lincolnshire Integrated Care Board,2018/19,3,0,2303
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,8,0,29685
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,20,1,15329
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2017/18,9,1,5828
E54000029,NHS North East London Integrated Care Board,2021/22,1,1,6463
E54000062,NHS Black Country Integrated Care Board,2021/22,6,0,158
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,15,0,3538
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,1,1,78
E54000041,NHS Dorset Integrated Care Board,2021/22,0,0,2525
E54000037,NHS Devon Integrated Care Board,2020/21,17,0,353
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,0,1,3301
E54000062,NHS Black Country Integrated Care Board,2018/19,17,0,5322
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,10,1,1051
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,21,0,4482
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,10,0,13125
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,1,0,3621
E54000022,NHS Norfolk and Waveney Integrated Care Board,2018/19,14,1,9157
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2017/18,10,1,14661
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,9,1,11758
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,2,0,6170
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2018/19,7,0,1851
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2018/19,21,0,2174
E54000032,NHS Kent and Medway Integrated Care Board,2017/18,21,1,10852
E54000034,NHS Frimley Integrated Care Board,2017/18,17,0,2074
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,20,1,14608
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,13,0,264
E54000027,NHS North West London Integrated Care Board,2018/19,8,0,5208
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2018/19,7,0,2413
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,3,1,93
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,12,1,23152
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,0,1,81
E54000032,NHS Kent and Medway Integrated Care Board,2017/18,18,1,18285
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,13,0,26145
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,15,0,7199
E54000041,NHS Dorset Integrated Care Board,2018/19,9,1,12505
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,20,0,16163
E54000028,NHS North Central London Integrated Care Board,2017/18,9,1,939
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2018/19,14,0,7205
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,23,0,3661
E54000041,NHS Dorset Integrated Care Board,2019/20,17,1,8278
E54000062,NHS Black Country Integrated Care Board,2020/21,8,0,5693
E54000027,NHS North West London Integrated Care Board,2020/21,9,0,14610
E54000034,NHS Frimley Integrated Care Board,2017/18,23,1,4221
E54000043,NHS Gloucestershire Integrated Care Board,2017/18,19,0,1361
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,7,0,130
