ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000030,NHS South East London Integrated Care Board,2017/18,17,0,3502
E54000032,NHS Kent and Medway Integrated Care Board,2017/18,19,1,16490
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2017/18,13,0,7867
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,2,1,1002
E54000034,NHS Frimley Integrated Care Board,2020/21,2,1,1732
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,5,0,108
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,23,1,319
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,22,1,464
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,19,0,8506
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2018/19,17,0,4012
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,8,0,20545
E54000037,NHS Devon Integrated Care Board,2020/21,1,1,95
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,12,0,35317
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,17,0,3494
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,4,0,3355
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,19,1,14713
E54000027,NHS North West London Integrated Care Board,2018/19,12,0,6589
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,5,1,402
E54000038,NHS Somerset Integrated Care Board,2017/18,15,1,2729
E54000064,NHS Sussex Integrated Care Board,2018/19,22,0,1446
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2017/18,20,0,2048
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2018/19,2,0,453
E54000027,NHS North West London Integrated Care Board,2021/22,4,0,2696
E54000041,NHS Dorset Integrated Care Board,2020/21,14,0,6616
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2018/19,13,0,1710
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,3,1,3624
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,5,1,141
E54000027,NHS North West London Integrated Care Board,2021/22,16,1,19851
E54000028,NHS North Central London Integrated Care Board,2020/21,23,0,1708
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,0,0,3446
E54000031,NHS South West London Integrated Care Board,2018/19,9,1,11588
E54000037,NHS Devon Integrated Care Board,2020/21,18,0,362
E54000062,NHS Black Country Integrated Care Board,2019/20,19,0,12241
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2018/19,11,0,3685
E54000064,NHS Sussex Integrated Care Board,2018/19,21,0,1763
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,18,0,5903
E54000064,NHS Sussex Integrated Care Board,2019/20,12,0,555
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2018/19,12,1,1613
E54000058,NHS Derby and Derbyshire Integrated Care Board,2017/18,16,0,13320
E54000043,NHS Gloucestershire Integrated Care Board,2018/19,22,0,2035
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,1,1,844
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,16,0,2756
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2017/18,1,1,5174
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,10,0,5577
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,3,1,138
E54000037,NHS Devon Integrated Care Board,2017/18,3,1,1944
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,15,0,10689
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,16,0,6333
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,11,1,876
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,19,1,7758
E54000034,NHS Frimley Integrated Care Board,2021/22,10,1,8874
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,22,0,5163
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,15,1,256
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2017/18,12,1,6445
E54000063,NHS Surrey Heartlands Integrated Care Board,2018/19,12,1,9109
E54000034,NHS Frimley Integrated Care Board,2017/18,16,0,1725
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2018/19,8,0,4819
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,17,0,7219
E54000026,NHS Mid and South Essex Integrated Care Board,2017/18,1,0,858
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2018/19,16,1,7910
E54000038,NHS Somerset Integrated Care Board,2017/18,21,1,3917
E54000031,NHS South West London Integrated Care Board,2018/19,4,1,1911
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2018/19,10,0,5060
E54000031,NHS South West London Integrated Care Board,2020/21,1,1,3134
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,0,0,298
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,14,0,3326
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,5,0,1306
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,10,1,15012
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,21,0,4156
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2018/19,0,0,2434
E54000062,NHS Black Country Integrated Care Board,2019/20,12,0,9861
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,19,0,5403
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2017/18,7,0,10860
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,16,1,16600
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,1,1,858
E54000064,NHS Sussex Integrated Care Board,2019/20,16,1,859
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,0,0,9905
E54000037,NHS Devon Integrated Care Board,2019/20,7,1,3822
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,16,1,13305
E54000034,NHS Frimley Integrated Care Board,2019/20,6,0,852
E54000043,NHS Gloucestershire Integrated Care Board,2017/18,16,1,2258
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2018/19,6,1,203
E54000061,NHS South Yorkshire Integrated Care Board,2018/19,6,1,4668
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,20,0,8273
E54000062,NHS Black Country Integrated Care Board,2019/20,7,0,4762
E54000013,NHS Lincolnshire Integrated Care Board,2017/18,13,0,7954
E54000054,NHS West Yorkshire Integrated Care Board,2017/18,6,1,9809
E54000031,NHS South West London Integrated Care Board,2019/20,16,0,7313
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,22,0,11281
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,8,0,6295
E54000064,NHS Sussex Integrated Care Board,2021/22,18,0,752
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,11,0,13802
E54000027,NHS North West London Integrated Care Board,2021/22,15,1,19336
E54000055,NHS Birmingham and Solihull Integrated Care Board,2017/18,10,0,2618
E54000013,NHS Lincolnshire Integrated Care Board,2018/19,9,1,760
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,17,0,179
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,3,0,2669
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,4,0,1053
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,7,1,378
E54000041,NHS Dorset Integrated Care Board,2017/18,7,1,7035
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,0,0,1940
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2018/19,22,1,7571
E54000031,NHS South West London Integrated Care Board,2021/22,19,1,12260
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2018/19,18,1,631
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,0,1,3074
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2017/18,16,1,1473
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,18,0,241
E54000030,NHS South East London Integrated Care Board,2021/22,7,1,13153
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,9,0,28319
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,4,0,1095
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,18,1,17862
E54000064,NHS Sussex Integrated Care Board,2021/22,22,0,507
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,4,0,6097
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,8,0,6281
E54000054,NHS West Yorkshire Integrated Care Board,2018/19,0,0,2358
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,17,1,29189
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,20,1,9861
E54000029,NHS North East London Integrated Care Board,2021/22,22,1,14538
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,15,0,3536
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,19,0,3506
E54000055,NHS Birmingham and Solihull Integrated Care Board,2018/19,6,0,1258
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2017/18,3,0,393
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,5,0,723
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,23,0,4754
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,22,1,4927
E54000031,NHS South West London Integrated Care Board,2019/20,11,0,7847
E54000027,NHS North West London Integrated Care Board,2018/19,18,0,8764
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,3,1,2976
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,18,1,13100
E54000038,NHS Somerset Integrated Care Board,2020/21,14,0,279
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,22,1,6101
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,22,1,5455
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,22,0,1833
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,9,0,2807
E54000041,NHS Dorset Integrated Care Board,2019/20,19,1,10682
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,12,1,8472
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,12,1,1109
E54000059,NHS Northamptonshire Integrated Care Board,2017/18,20,0,12028
E54000062,NHS Black Country Integrated Care Board,2020/21,13,1,15129
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,5,1,58
E54000061,NHS South Yorkshire Integrated Care Board,2017/18,22,1,9891
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,21,1,11843
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,17,1,541
E54000027,NHS North West London Integrated Care Board,2020/21,16,0,13843
E54000034,NHS Frimley Integrated Care Board,2019/20,8,1,7895
