ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_calls,mh_pats,mh_calls,mh_freqfly,mh_freqfly_calls
E54000028,NHS North Central London Integrated Care Board,2020/21,59555,95285,31515,45326,451,5274
E54000028,NHS North Central London Integrated Care Board,2021/22,65218,93447,35236,44995,226,3139
E54000029,NHS North East London Integrated Care Board,2017/18,133297,211253,24366,33580,177,3661
E54000029,NHS North East London Integrated Care Board,2018/19,107606,170055,75334,111803,880,12583
E54000029,NHS North East London Integrated Care Board,2019/20,288884,569978,201111,352789,6547,58747
E54000029,NHS North East London Integrated Care Board,2020/21,337082,707315,221068,395451,7829,67510
E54000029,NHS North East London Integrated Care Board,2021/22,390187,819045,264420,473009,9963,78777
E54000030,NHS South East London Integrated Care Board,2017/18,184718,313212,132353,193491,2088,25933
E54000030,NHS South East London Integrated Care Board,2018/19,170325,280059,125633,180347,1755,21893
E54000030,NHS South East London Integrated Care Board,2019/20,247370,529722,182342,370078,8926,78265
E54000030,NHS South East London Integrated Care Board,2020/21,287450,635529,199845,396418,9429,81592
E54000030,NHS South East London Integrated Care Board,2021/22,318548,674852,218969,404764,9026,72846
E54000031,NHS South West London Integrated Care Board,2017/18,165575,280779,82302,114331,716,12915
E54000031,NHS South West London Integrated Care Board,2018/19,175183,294862,125872,181993,1788,21439
E54000031,NHS South West London Integrated Care Board,2019/20,193991,353504,135391,209035,2621,28115
E54000031,NHS South West London Integrated Care Board,2020/21,197106,363408,129335,198570,2451,29104
E54000031,NHS South West London Integrated Care Board,2021/22,220042,391973,149625,223170,2542,26363
E54000032,NHS Kent and Medway Integrated Care Board,2017/18,211715,370799,201937,339200,6105,68933
E54000032,NHS Kent and Medway Integrated Care Board,2018/19,173168,291738,160556,258214,4656,43553
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,22655,32062,15594,21111,150,1501
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,33123,45508,20343,26690,203,2073
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,29404,40042,18015,22714,106,1170
E54000034,NHS Frimley Integrated Care Board,2017/18,100301,181522,87918,146598,2975,25090
E54000034,NHS Frimley Integrated Care Board,2018/19,104584,172928,91422,137040,1995,15875
E54000034,NHS Frimley Integrated Care Board,2019/20,110801,192824,92512,141876,2270,17827
E54000034,NHS Frimley Integrated Care Board,2020/21,119173,209973,93531,140333,2004,15955
E54000034,NHS Frimley Integrated Care Board,2021/22,121984,222291,92802,136427,1799,13082
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2017/18,54758,93313,50666,78352,1223,12455
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2018/19,12268,15582,8369,10147,36,635
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,4627,6177,2932,3689,13,122
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,8095,10179,4975,5927,26,300
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,7063,8829,4198,4862,11,154
E54000037,NHS Devon Integrated Care Board,2017/18,148493,257968,115486,177947,2382,29473
E54000037,NHS Devon Integrated Care Board,2018/19,145135,253370,112709,171508,2471,24273
E54000037,NHS Devon Integrated Care Board,2019/20,95068,151049,71704,98958,916,10377
E54000037,NHS Devon Integrated Care Board,2020/21,11880,15687,7129,8870,47,470
E54000037,NHS Devon Integrated Care Board,2021/22,14885,19407,8684,10309,31,394
E54000038,NHS Somerset Integrated Care Board,2017/18,63900,113140,46908,71076,1017,11344
E54000038,NHS Somerset Integrated Care Board,2018/19,54449,93159,39469,58757,843,8248
E54000038,NHS Somerset Integrated Care Board,2019/20,9171,12732,5909,7550,54,433
E54000038,NHS Somerset Integrated Care Board,2020/21,8952,12464,5053,6508,37,453
E54000038,NHS Somerset Integrated Care Board,2021/22,9377,12957,5513,6865,33,439
