Integrated care boards Code,Integrated care boards,Ethnic group (20 categories) Code,Ethnic group (20 categories),Age (7 categories) Code,Age (7 categories),Observation
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,Aged 21 to 24 years,221
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,Aged 25 to 29 years,262
E54000008,NHS Cheshire and Merseyside Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,Aged 30 years and over,1792
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,1,Aged 4 years and under,2121
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,2,Aged 5 to 15 years,4155
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,3,Aged 16 to 17 years,547
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,4,Aged 18 to 20 years,754
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,5,Aged 21 to 24 years,966
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,6,Aged 25 to 29 years,843
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,Mixed or Multiple ethnic groups: White and Asian,7,Aged 30 years and over,4379
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,1,Aged 4 years and under,1316
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,2,Aged 5 to 15 years,3037
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,3,Aged 16 to 17 years,421
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,4,Aged 18 to 20 years,515
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,5,Aged 21 to 24 years,560
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,6,Aged 25 to 29 years,636
E54000008,NHS Cheshire and Merseyside Integrated Care Board,10,Mixed or Multiple ethnic groups: White and Black African,7,Aged 30 years and over,3258
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,Aged 4 years and under,1449
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,Aged 5 to 15 years,2760
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,Aged 16 to 17 years,585
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,Aged 18 to 20 years,766
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,Aged 21 to 24 years,909
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,Aged 25 to 29 years,1029
E54000008,NHS Cheshire and Merseyside Integrated Care Board,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,Aged 30 years and over,4230
